"","TranscritID","Weight formula","Weight error","mRNA formula","mRNA error","Mean mRNA concentration","Mean protein concentration","Starting protein concentration value","ks","Normalized ks","kd","Fitting error value","Fitting error score","Fitting error message","Optimization error score","Optimization error message"
"258","Acc30767.1","Double sigmoid",0.132975667333564,"3_deg_log",0.834577476050745,0.0440503912889949,5285.89926449664,1.83221669680031,58531.083329077,0.48777265592861,0.242640514747316,0.300986057432531,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"259","Acc30791.1","Double sigmoid",0.132975667333564,"3_deg_log",0.499433846679805,0.701694096053486,6181.32931444194,1.9824428643761,67043.2828655258,7.6106405877569,3.68188360269408,0.31976251720206,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"260","Acc30907.1","Double sigmoid",0.132975667333564,"3_deg_log",0.532528745887154,0.896911039534425,9659.72208113733,3.36195662529889,84059.145998024,7.80494256317019,4.99557414594486,0.482561667735148,0,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"261","Acc31046.1","Double sigmoid",0.132975667333564,"3_deg_log",0.898026213364446,0.0005356244647611,16976.2971422438,2.99772959101294,479750.062063891,0.0151367443712235,0,0.642093254179363,-3,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"262","Acc31175.1","Double sigmoid",0.132975667333564,"3_deg_log",0.42800132796662,0.256787166956457,7323.71939656151,2.84985416944182,127451.582263807,4.46875814889994,1.95321182354427,0.147210966208537,7,"Very accurate fit",10,"Optimisation converges to 3 indentical values"
"263","Acc31182.1","Double sigmoid",0.132975667333564,"3_deg_log",2.36769441205526,34.2702925733483,49244.8092959667,0.106876084776826,46.9125422000369,0.0326472286021522,0.046896180217905,0.15458443298516,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"264","Acc31280.1","Double sigmoid",0.132975667333564,"3_deg_log",0.477328941822204,0.104940628726294,4602.64067402785,0.705377649220282,119988.620417419,2.73575153012875,0.767150470476618,0.474685087650572,0,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"265","Acc31594.1","Double sigmoid",0.132975667333564,"3_deg_log",0.461253350694513,0.119393105465355,113470.262589095,1.85453003911481,5279920.19567953,5.5555178457127,2.44690186853926,0.343907338550418,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"266","Acc31610.1","Double sigmoid",0.132975667333564,"3_deg_log",0.594781078071718,0.677721531171929,163518.237964654,2.6864343963924,74485.7501919745,0.308715390398878,0,0.305984826883901,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"267","Acc31818.1","Double sigmoid",0.132975667333564,"3_deg_log",0.545001157724635,1.21423020779397,5049.2790996292,1.01845417175081,31491.5204989339,7.57295343051576,5.37379816957912,0.291425252119498,4,"Pretty accurate fit",8,"Optimisation nearly converges to 3 identical values"
"268","Acc31897.1","Double sigmoid",0.132975667333564,"3_deg_log",0.480043549025179,0.49480415526151,4398.53261570237,3.2203747460318,43178.2472245977,4.85725081754977,2.25445657673682,0.318484144368395,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"269","Acc31924.1","Double sigmoid",0.132975667333564,"3_deg_log",0.443948523170338,0.307539420260587,8735.96746159448,2.09382225171962,8573.03855979724,0.301803700636778,0.0671901020320071,0.418913315648776,1,"Inaccurate fit",6,"Optimisation converges to 2 indentical values"
"270","Acc32115.1","Double sigmoid",0.132975667333564,"3_deg_log",0.486961398350957,0.723947461500836,5409.5008249675,1.45210037016131,1113.67402763221,0.149041752895674,0,0.726278324140733,-5,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"271","Acc32186.1","Double sigmoid",0.132975667333564,"3_deg_log",0.501635206515589,0.304873647612858,42733.5730633708,1.26524945999412,32165.5013026713,0.229477972621183,0.0103029132945679,0.617944368612733,-3,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"272","Acc32190.1","Double sigmoid",0.132975667333564,"3_deg_log",0.461259181001877,1.61498942419895,37537.4641960545,3.46814678538578,145933.919333205,6.27857372368271,3.58112578724405,0.10232759217741,7,"Very accurate fit",10,"Optimisation converges to 3 indentical values"
"273","Acc32241.1","Double sigmoid",0.132975667333564,"3_deg_log",0.944912017665144,0.0745326945342817,5335.08343800257,1.98304370213301,115038.312130674,1.60711926578321,0.236633479626474,0.457031486758181,0,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"274","Acc32275.1","Double sigmoid",0.132975667333564,"3_deg_log",0.884021249844183,1.48505691011919,399746.909097936,5.58672178001491,832233.553358282,3.09174170236042,1.71103249571867,0.176046052531806,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"275","Acc32338.1","Double sigmoid",0.132975667333564,"3_deg_log",1.07929905202754,0.651047601495677,6034.57629227571,0.699190454394896,2460.89697149185,0.265496862284851,0.0367487374966375,0.237251254576176,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"276","Acc32486.1","Double sigmoid",0.132975667333564,"3_deg_log",0.437741820565093,16.9117262031912,16059.1946340548,3.00983821503368,8583.60404358784,9.03928028332952,4.65368782140405,0.154784392431863,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"277","Acc32690.1","Double sigmoid",0.132975667333564,"3_deg_log",0.425099995631924,1.10775566497521,71829.1896449646,3.53190629205011,410782.819941793,6.33512640354442,3.54171015044811,0.100006609561619,7,"Very accurate fit",10,"Optimisation converges to 3 indentical values"
"278","Acc32766.1","Double sigmoid",0.132975667333564,"3_deg_log",0.435336305877828,0.182527713154815,13232.6978254891,3.85525032695881,314628.689227557,4.33989016411931,2.62775290389885,0.172259503057343,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"279","Acc33028.1","Double sigmoid",0.132975667333564,"3_deg_log",0.485893652442825,0.226146113710464,71168.6894129932,3.08329105532566,52470.8082057892,0.166731598640624,0.0192934969703619,0.499238032944548,0,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"280","Acc33147.1","Double sigmoid",0.132975667333564,"3_deg_log",0.476909100206296,1.76675082545282,143510.634676218,2.72561957059886,162563.911616408,2.00131457633867,0.651117368860364,0.13695595258328,7,"Very accurate fit",10,"Optimisation converges to 3 indentical values"
"281","Acc33237.1","Double sigmoid",0.132975667333564,"3_deg_log",0.486652134018613,0.96594020249953,20087.9013860993,3.50775963263522,371451.43985788,17.8614914589012,8.14470107545967,0.203596894453803,5,"Pretty accurate fit",8,"Optimisation nearly converges to 3 identical values"
"282","Acc33595.1","Double sigmoid",0.132975667333564,"3_deg_log",0.797088216934761,0.195730657977389,14760.4888580769,2.52555881848594,606934.21000109,8.04821801057733,4.56074557981859,0.153743744847417,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
