"","TranscritID","Weight formula","mRNA formula","Mean mRNA concentration","Mean protein concentration","Starting protein concentration value","ks","Normalized ks","kd","Fitting error value","Fitting error score","Fitting error message","Optimization error score","Optimization error message"
"2657","Acc25627.1","Double sigmoid","3_deg_log",0.327048291595155,8529.77608463487,2.83945938409692,9.90280964093225,258276.074257796,7.29992112732954,0.238738911456801,5,"Pretty accurate fit",6,"Optimisation converges to 2 indentical values"
"2658","Acc25631.1","Double sigmoid","3_deg_log",0.339691927580443,8795.92580426941,5.06448639097201,8.86421315582325,229528.448871915,7.38398154339302,0.165252431824272,6,"Accurate fit",1,"Optimisation converges to different values"
"2659","Acc25635.1","Double sigmoid","3_deg_log",0.530280632501757,24651.3040223881,1.35341263631467,2.63287100547809,122395.010546714,1.00140960056288,0.207225226630647,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2660","Acc25644.1","Double sigmoid","3_deg_log",0.318489495260563,6687.08473574425,4.06541459240756,2.00527422187098,42103.2368087504,0.998373940052405,0.205448046747127,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2661","Acc25650.1","Double sigmoid","3_deg_log",0.306194978801587,7264.08237649321,2.45359575004329,8.04419597175481,190838.211717857,5.15851308559669,0.473493415670988,0,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"2662","Acc25651.1","Double sigmoid","3_deg_log",0.140025842167383,4282.58234640566,2.88680730523791,11.3680414970442,347682.778227839,6.79766022801475,0.233961689904638,5,"Pretty accurate fit",1,"Optimisation converges to different values"
"2663","Acc25653.1","Double sigmoid","3_deg_log",0.652714728150512,11961.7471196209,2.942663606928,10.988830075729,201382.93321312,7.77436929277402,0.224480536674294,5,"Pretty accurate fit",6,"Optimisation converges to 2 indentical values"
"2664","Acc25664.1","Double sigmoid","3_deg_log",0.652610064645693,73304.8921109113,3.78436349229132,5.99267954889181,673132.014942604,5.25532096566537,0.437082913175803,1,"Inaccurate fit",1,"Optimisation converges to different values"
"2665","Acc25677.1","Double sigmoid","3_deg_log",0.464050863082058,71880.427630752,3.03204299962161,4.88348162130137,756440.242206787,2.33334064780481,0.263307336423752,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2666","Acc25678.1","Double sigmoid","3_deg_log",0.502831601071472,21226.5963855362,3.62129045802406,1.38322123085359,58391.4748330633,0.834542943298569,0.516764602612221,-1,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"2667","Acc25692.1","Double sigmoid","3_deg_log",1.1344358225991,8339.99283236584,2.5472406276901,7.93521421705505,58337.0415277462,3.80135332788582,0.361492307870672,2,"Average fit",10,"Optimisation converges to 3 indentical values"
"2668","Acc25693.1","Double sigmoid","3_deg_log",0.707408293789392,10385.6513474679,2.94999468323507,3.45651206110257,50745.9828504872,1.62200541899943,0.330341555382113,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"2669","Acc25707.1","Double sigmoid","3_deg_log",0.186957672648759,21587.5041512979,3.0035315544123,6.02477968510496,695665.252033838,2.55756644480145,0.164162807812241,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"2670","Acc25710.1","Double sigmoid","3_deg_log",0.463267601830527,34830.9975078046,2.44767912498518,4.55979901926101,342830.68284596,2.38489973524616,0.218260298854359,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2671","Acc25711.1","Double sigmoid","3_deg_log",1.57784138725864,11228.7411302385,2.4656917192875,5.24575507596452,37331.5253714946,2.42444765605348,0.294270490905422,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2672","Acc25718.1","Double sigmoid","3_deg_log",0.911038741623835,499187.014071511,3.05076203282927,3.23066384697128,1770183.16077743,1.1741645401012,0.240072311154729,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2673","Acc25737.1","Double sigmoid","3_deg_log",0.322560068860445,8938.40262524059,2.6721692096279,3.95884300841386,109702.769051154,1.61184465622102,0.261485329446556,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2674","Acc25741.1","Double sigmoid","3_deg_log",4.38663153811105,34129.7888399925,2.51358647576841,2.55283367061008,19862.0908468331,0.955195477628788,0.214819171805004,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
