Gene,Transcrit
Acc05818,Acc05818.1
Acc05819,Acc05819.1
Acc05820,Acc05820.1
Acc05821,Acc05821.1
Acc05822,Acc05822.1
Acc05823,Acc05823.1
Acc05824,Acc05824.1
Acc05826,Acc05826.1
Acc05827,Acc05827.1
Acc05828,Acc05828.1
Acc05829,Acc05829.1
Acc05830,Acc05830.1
Acc05831,Acc05831.1
Acc05832,Acc05832.1
Acc05833,Acc05833.1
Acc05834,Acc05834.1
Acc05835,Acc05835.1
Acc05836,Acc05836.1
Acc05837,Acc05837.1
Acc05838,Acc05838.1
Acc05839,Acc05839.1
Acc05840,Acc05840.1
Acc05841,Acc05841.1
Acc05842,Acc05842.1
Acc05843,Acc05843.1
Acc05844,Acc05844.1
Acc05845,Acc05845.1
Acc05846,Acc05846.1
Acc05847,Acc05847.1
Acc05848,Acc05848.1
Acc05849,Acc05849.1
Acc05850,Acc05850.1
Acc05851,Acc05851.1
Acc05852,Acc05852.1
Acc05853,Acc05853.1
Acc05854,Acc05854.1
Acc05855,Acc05855.1
Acc05856,Acc05856.1
Acc05857,Acc05857.1
Acc05858,Acc05858.1
Acc05859,Acc05859.1
Acc05860,Acc05860.1
Acc05861,Acc05861.1
Acc05862,Acc05862.1
Acc05863,Acc05863.1
Acc05864,Acc05864.1
Acc05865,Acc05865.1
Acc05866,Acc05866.1
Acc05867,Acc05867.1
Acc05868,Acc05868.1
Acc05869,Acc05869.1
Acc05870,Acc05870.1
Acc05871,Acc05871.1
Acc05872,Acc05872.1
Acc05873,Acc05873.1
Acc05874,Acc05874.1
Acc05875,Acc05875.1
Acc05876,Acc05876.1
Acc05877,Acc05877.1
Acc05878,Acc05878.1
Acc05879,Acc05879.1
Acc05880,Acc05880.1
Acc05881,Acc05881.1
Acc05882,Acc05882.1
Acc05883,Acc05883.1
Acc05884,Acc05884.1
Acc05885,Acc05885.1
Acc05886,Acc05886.1
Acc05887,Acc05887.1
Acc05888,Acc05888.1
Acc05889,Acc05889.1
Acc05890,Acc05890.1
Acc05891,Acc05891.1
Acc05892,Acc05892.1
Acc05893,Acc05893.1
Acc05894,Acc05894.1
Acc05895,Acc05895.1
Acc05896,Acc05896.1
Acc05897,Acc05897.1
Acc05898,Acc05898.1
Acc05899,Acc05899.1
Acc05900,Acc05900.1
Acc05901,Acc05901.1
Acc05902,Acc05902.1
Acc05903,Acc05903.1
Acc05904,Acc05904.1
Acc05905,Acc05905.1
Acc05906,Acc05906.1
Acc05907,Acc05907.1
Acc05908,Acc05908.1
Acc05909,Acc05909.1
Acc05910,Acc05910.1
Acc05911,Acc05911.1
Acc05912,Acc05912.1
Acc05913,Acc05913.1
Acc05914,Acc05914.1
Acc05915,Acc05915.1
Acc05916,Acc05916.1
Acc05917,Acc05917.1
Acc05918,Acc05918.1
Acc05919,Acc05919.1
Acc05920,Acc05920.1
Acc05921,Acc05921.1
Acc05922,Acc05922.1
Acc05923,Acc05923.1
Acc05924,Acc05924.1
Acc05925,Acc05925.1
Acc05926,Acc05926.1
Acc05927,Acc05927.1
Acc05928,Acc05928.1
Acc05929,Acc05929.1
Acc05930,Acc05930.1
Acc05931,Acc05931.1
Acc05931,Acc05931.2
Acc05932,Acc05932.1
Acc05933,Acc05933.1
Acc05934,Acc05934.1
Acc05935,Acc05935.1
Acc05936,Acc05936.1
Acc05937,Acc05937.1
Acc05938,Acc05938.1
Acc05939,Acc05939.1
Acc05940,Acc05940.1
Acc05941,Acc05941.1
Acc05942,Acc05942.1
Acc05943,Acc05943.1
Acc05944,Acc05944.1
Acc05945,Acc05945.1
Acc05946,Acc05946.1
Acc05947,Acc05947.1
Acc05948,Acc05948.1
Acc05949,Acc05949.1
Acc05950,Acc05950.1
Acc05951,Acc05951.1
Acc05952,Acc05952.1
Acc05953,Acc05953.1
Acc05954,Acc05954.1
Acc05955,Acc05955.1
Acc05956,Acc05956.1
Acc05957,Acc05957.1
Acc05958,Acc05958.1
Acc05959,Acc05959.1
Acc05960,Acc05960.1
Acc05961,Acc05961.1
Acc05962,Acc05962.1
Acc05963,Acc05963.1
Acc05964,Acc05964.1
Acc05965,Acc05965.1
Acc05966,Acc05966.1
Acc05967,Acc05967.1
Acc05968,Acc05968.1
Acc05969,Acc05969.1
Acc05970,Acc05970.1
Acc05971,Acc05971.1
Acc05972,Acc05972.1
Acc05973,Acc05973.1
Acc05974,Acc05974.1
Acc05975,Acc05975.1
Acc05976,Acc05976.1
Acc05977,Acc05977.1
Acc05978,Acc05978.1
Acc05979,Acc05979.1
Acc05980,Acc05980.1
Acc05981,Acc05981.1
Acc05982,Acc05982.1
Acc05983,Acc05983.1
Acc05984,Acc05984.1
Acc05985,Acc05985.1
Acc05986,Acc05986.1
Acc05987,Acc05987.1
Acc05988,Acc05988.1
Acc05989,Acc05989.1
Acc05990,Acc05990.1
Acc05991,Acc05991.1
Acc05992,Acc05992.1
Acc05993,Acc05993.1
Acc05994,Acc05994.1
Acc05995,Acc05995.1
Acc05996,Acc05996.1
Acc05997,Acc05997.1
Acc05998,Acc05998.1
Acc05999,Acc05999.1
Acc06000,Acc06000.1
Acc06001,Acc06001.1
Acc06002,Acc06002.1
Acc06003,Acc06003.1
Acc06004,Acc06004.1
Acc06005,Acc06005.1
Acc06006,Acc06006.1
Acc06007,Acc06007.1
Acc06008,Acc06008.1
Acc06009,Acc06009.1
Acc06010,Acc06010.1
Acc06011,Acc06011.1
Acc06012,Acc06012.1
Acc06013,Acc06013.1
Acc06014,Acc06014.1
Acc06015,Acc06015.1
Acc06016,Acc06016.1
Acc06017,Acc06017.1
Acc06018,Acc06018.1
Acc06019,Acc06019.1
Acc06020,Acc06020.1
Acc06021,Acc06021.1
Acc06022,Acc06022.1
Acc06023,Acc06023.1
Acc06024,Acc06024.1
Acc06025,Acc06025.1
Acc06026,Acc06026.1
Acc06027,Acc06027.1
Acc06028,Acc06028.1
Acc06029,Acc06029.1
Acc06030,Acc06030.1
Acc06031,Acc06031.1
Acc06032,Acc06032.1
Acc06033,Acc06033.1
Acc06034,Acc06034.1
Acc06035,Acc06035.1
Acc06036,Acc06036.1
Acc06037,Acc06037.1
Acc06038,Acc06038.1
Acc06039,Acc06039.1
Acc06040,Acc06040.1
Acc06041,Acc06041.1
Acc06042,Acc06042.1
Acc06043,Acc06043.1
Acc06045,Acc06045.1
Acc06046,Acc06046.1
Acc06047,Acc06047.1
Acc06048,Acc06048.1
Acc06049,Acc06049.1
Acc06050,Acc06050.1
Acc06051,Acc06051.1
Acc06052,Acc06052.1
Acc06053,Acc06053.1
Acc06054,Acc06054.1
Acc06055,Acc06055.1
Acc06056,Acc06056.1
Acc06057,Acc06057.1
Acc06058,Acc06058.1
Acc06059,Acc06059.1
Acc06060,Acc06060.1
Acc06061,Acc06061.1
Acc06061,Acc06061.2
Acc06062,Acc06062.1
Acc06063,Acc06063.1
Acc06064,Acc06064.1
Acc06065,Acc06065.1
Acc06066,Acc06066.1
Acc06067,Acc06067.1
Acc06068,Acc06068.1
Acc06069,Acc06069.1
Acc06070,Acc06070.1
Acc06071,Acc06071.1
Acc06072,Acc06072.1
Acc06073,Acc06073.1
Acc06074,Acc06074.1
Acc06075,Acc06075.1
Acc06076,Acc06076.1
Acc06077,Acc06077.1
Acc06078,Acc06078.1
Acc06079,Acc06079.1
Acc06080,Acc06080.1
Acc06081,Acc06081.1
Acc06082,Acc06082.1
Acc06083,Acc06083.1
Acc06084,Acc06084.1
Acc06085,Acc06085.1
Acc06086,Acc06086.1
Acc06087,Acc06087.1
Acc06088,Acc06088.1
Acc06089,Acc06089.1
Acc06090,Acc06090.1
Acc06091,Acc06091.1
Acc06092,Acc06092.1
Acc06093,Acc06093.1
Acc06094,Acc06094.1
Acc06095,Acc06095.1
Acc06096,Acc06096.1
Acc06097,Acc06097.1
Acc06098,Acc06098.1
Acc06099,Acc06099.1
Acc06100,Acc06100.1
Acc06101,Acc06101.1
Acc06102,Acc06102.1
Acc06103,Acc06103.1
Acc06104,Acc06104.1
Acc06105,Acc06105.1
Acc06106,Acc06106.1
Acc06107,Acc06107.1
Acc06108,Acc06108.1
Acc06109,Acc06109.1
Acc06110,Acc06110.1
Acc06111,Acc06111.1
Acc06112,Acc06112.1
Acc06113,Acc06113.1
Acc06114,Acc06114.1
Acc06115,Acc06115.1
Acc06116,Acc06116.1
Acc06117,Acc06117.1
Acc06118,Acc06118.1
Acc06119,Acc06119.1
Acc06120,Acc06120.1
Acc06121,Acc06121.1
Acc06122,Acc06122.1
Acc06123,Acc06123.1
Acc06124,Acc06124.1
Acc06125,Acc06125.1
Acc06126,Acc06126.1
Acc06127,Acc06127.1
Acc06128,Acc06128.1
Acc06129,Acc06129.1
Acc06130,Acc06130.1
Acc06131,Acc06131.1
Acc06132,Acc06132.1
Acc06133,Acc06133.1
Acc06134,Acc06134.1
Acc06135,Acc06135.1
Acc06136,Acc06136.1
Acc06137,Acc06137.1
Acc06138,Acc06138.1
Acc06139,Acc06139.1
Acc06140,Acc06140.1
Acc06142,Acc06142.1
Acc06143,Acc06143.1
Acc06144,Acc06144.1
Acc06145,Acc06145.1
Acc06146,Acc06146.1
Acc06147,Acc06147.1
Acc06148,Acc06148.1
Acc06149,Acc06149.1
Acc06150,Acc06150.1
Acc06151,Acc06151.1
Acc06152,Acc06152.1
Acc06154,Acc06154.1
Acc06155,Acc06155.1
Acc06156,Acc06156.1
Acc06157,Acc06157.1
Acc06158,Acc06158.1
Acc06159,Acc06159.1
Acc06160,Acc06160.1
Acc06161,Acc06161.1
Acc06162,Acc06162.1
Acc06163,Acc06163.1
Acc06164,Acc06164.1
Acc06165,Acc06165.1
Acc06166,Acc06166.1
Acc06167,Acc06167.1
Acc06168,Acc06168.1
Acc06169,Acc06169.1
Acc06170,Acc06170.1
Acc06171,Acc06171.1
Acc06172,Acc06172.1
Acc06173,Acc06173.1
Acc06174,Acc06174.1
Acc06176,Acc06176.1
Acc06177,Acc06177.1
Acc06178,Acc06178.1
Acc06179,Acc06179.1
Acc06180,Acc06180.1
Acc06181,Acc06181.1
Acc06182,Acc06182.1
Acc06183,Acc06183.1
Acc06184,Acc06184.1
Acc06185,Acc06185.1
Acc06186,Acc06186.1
Acc06187,Acc06187.1
Acc06188,Acc06188.1
Acc06189,Acc06189.1
Acc06190,Acc06190.1
Acc06191,Acc06191.1
Acc06192,Acc06192.1
Acc06193,Acc06193.1
Acc06194,Acc06194.1
Acc06195,Acc06195.1
Acc06196,Acc06196.1
Acc06197,Acc06197.1
Acc06198,Acc06198.1
Acc06199,Acc06199.1
Acc06200,Acc06200.1
Acc06201,Acc06201.1
Acc06202,Acc06202.1
Acc06203,Acc06203.1
Acc06204,Acc06204.1
Acc06205,Acc06205.1
Acc06206,Acc06206.1
Acc06207,Acc06207.1
Acc06208,Acc06208.1
Acc06209,Acc06209.1
Acc06210,Acc06210.1
Acc06211,Acc06211.1
Acc06212,Acc06212.1
Acc06213,Acc06213.1
Acc06214,Acc06214.1
Acc06215,Acc06215.1
Acc06216,Acc06216.1
Acc06217,Acc06217.1
Acc06218,Acc06218.1
Acc06219,Acc06219.1
Acc06220,Acc06220.1
Acc06221,Acc06221.1
Acc06222,Acc06222.1
Acc06223,Acc06223.1
Acc06224,Acc06224.1
Acc06225,Acc06225.1
Acc06226,Acc06226.1
Acc06227,Acc06227.1
Acc06228,Acc06228.1
Acc06229,Acc06229.1
Acc06230,Acc06230.1
Acc06231,Acc06231.1
Acc06232,Acc06232.1
Acc06233,Acc06233.1
Acc06234,Acc06234.1
Acc06235,Acc06235.1
Acc06236,Acc06236.1
Acc06237,Acc06237.1
Acc06238,Acc06238.1
Acc06239,Acc06239.1
Acc06241,Acc06241.1
Acc06242,Acc06242.1
Acc06243,Acc06243.1
Acc06244,Acc06244.1
Acc06245,Acc06245.1
Acc06246,Acc06246.1
Acc06247,Acc06247.1
Acc06248,Acc06248.1
Acc06249,Acc06249.1
Acc06250,Acc06250.1
Acc06251,Acc06251.1
Acc06252,Acc06252.1
Acc06253,Acc06253.1
Acc06254,Acc06254.1
Acc06255,Acc06255.1
Acc06256,Acc06256.1
Acc06257,Acc06257.1
Acc06258,Acc06258.1
Acc06259,Acc06259.1
Acc06260,Acc06260.1
Acc06261,Acc06261.1
Acc06262,Acc06262.1
Acc06263,Acc06263.1
Acc06264,Acc06264.1
Acc06265,Acc06265.1
Acc06266,Acc06266.1
Acc06267,Acc06267.1
Acc06267,Acc06267.2
Acc06268,Acc06268.1
Acc06269,Acc06269.1
Acc06270,Acc06270.1
Acc06271,Acc06271.1
Acc06272,Acc06272.1
Acc06273,Acc06273.1
Acc06274,Acc06274.1
Acc06275,Acc06275.1
Acc06276,Acc06276.1
Acc06277,Acc06277.1
Acc06278,Acc06278.1
Acc06279,Acc06279.1
Acc06280,Acc06280.1
Acc06281,Acc06281.1
Acc06282,Acc06282.1
Acc06283,Acc06283.1
Acc06284,Acc06284.1
Acc06285,Acc06285.1
Acc06286,Acc06286.1
Acc06287,Acc06287.1
Acc06288,Acc06288.1
Acc06289,Acc06289.1
Acc06290,Acc06290.1
Acc06291,Acc06291.1
Acc06292,Acc06292.1
Acc06293,Acc06293.1
Acc06294,Acc06294.1
Acc06295,Acc06295.1
Acc06296,Acc06296.1
Acc06297,Acc06297.1
Acc06298,Acc06298.1
Acc06299,Acc06299.1
Acc06300,Acc06300.1
Acc06301,Acc06301.1
Acc06302,Acc06302.1
Acc06303,Acc06303.1
Acc06304,Acc06304.1
Acc06305,Acc06305.1
Acc06306,Acc06306.1
Acc06307,Acc06307.1
Acc06308,Acc06308.1
Acc06309,Acc06309.1
Acc06310,Acc06310.1
Acc06311,Acc06311.1
Acc06312,Acc06312.1
Acc06313,Acc06313.1
Acc06314,Acc06314.1
Acc06315,Acc06315.1
Acc06316,Acc06316.1
Acc06317,Acc06317.1
Acc06318,Acc06318.1
Acc06319,Acc06319.1
Acc06320,Acc06320.1
Acc06321,Acc06321.1
Acc06322,Acc06322.1
Acc06323,Acc06323.1
Acc06324,Acc06324.1
Acc06325,Acc06325.1
Acc06326,Acc06326.1
Acc06327,Acc06327.1
Acc06328,Acc06328.1
Acc06329,Acc06329.1
Acc06330,Acc06330.1
Acc06331,Acc06331.1
Acc06332,Acc06332.1
Acc06333,Acc06333.1
Acc06334,Acc06334.1
Acc06335,Acc06335.1
Acc06336,Acc06336.1
Acc06337,Acc06337.1
Acc06338,Acc06338.1
Acc06339,Acc06339.1
Acc06340,Acc06340.1
Acc06341,Acc06341.1
Acc06342,Acc06342.1
Acc06343,Acc06343.1
Acc06344,Acc06344.1
Acc06345,Acc06345.1
Acc06346,Acc06346.1
Acc06347,Acc06347.1
Acc06348,Acc06348.1
Acc06349,Acc06349.1
Acc06350,Acc06350.1
Acc06351,Acc06351.1
Acc06352,Acc06352.1
Acc06353,Acc06353.1
Acc06354,Acc06354.1
Acc06355,Acc06355.1
Acc06356,Acc06356.1
Acc06357,Acc06357.1
Acc06358,Acc06358.1
Acc06359,Acc06359.1
Acc06360,Acc06360.1
Acc06361,Acc06361.1
Acc06362,Acc06362.1
Acc06363,Acc06363.1
Acc06364,Acc06364.1
Acc06365,Acc06365.1
Acc06366,Acc06366.1
Acc06367,Acc06367.1
Acc06368,Acc06368.1
Acc06369,Acc06369.1
Acc06370,Acc06370.1
Acc06371,Acc06371.1
Acc06372,Acc06372.1
Acc06373,Acc06373.1
Acc06374,Acc06374.1
Acc06375,Acc06375.1
Acc06376,Acc06376.1
Acc06377,Acc06377.1
Acc06378,Acc06378.1
Acc06379,Acc06379.1
Acc06380,Acc06380.1
Acc06381,Acc06381.1
Acc06382,Acc06382.1
Acc06383,Acc06383.1
Acc06384,Acc06384.1
Acc06385,Acc06385.1
Acc06386,Acc06386.1
Acc06387,Acc06387.1
Acc06388,Acc06388.1
Acc06389,Acc06389.1
Acc06390,Acc06390.1
Acc06391,Acc06391.1
Acc06392,Acc06392.1
Acc06393,Acc06393.1
Acc06394,Acc06394.1
Acc06395,Acc06395.1
Acc06396,Acc06396.1
Acc06397,Acc06397.1
Acc06398,Acc06398.1
Acc06399,Acc06399.1
Acc06400,Acc06400.1
Acc06401,Acc06401.1
Acc06402,Acc06402.1
Acc06403,Acc06403.1
Acc06404,Acc06404.1
Acc06405,Acc06405.1
Acc06406,Acc06406.1
Acc06407,Acc06407.1
Acc06408,Acc06408.1
Acc06409,Acc06409.1
Acc06410,Acc06410.1
Acc06411,Acc06411.1
Acc06412,Acc06412.1
Acc06413,Acc06413.1
Acc06414,Acc06414.1
Acc06415,Acc06415.1
Acc06416,Acc06416.1
Acc06417,Acc06417.1
Acc06418,Acc06418.1
Acc06419,Acc06419.1
Acc06420,Acc06420.1
Acc06421,Acc06421.1
Acc06422,Acc06422.1
Acc06423,Acc06423.1
Acc06425,Acc06425.1
Acc06426,Acc06426.1
Acc06427,Acc06427.1
Acc06429,Acc06429.1
Acc06430,Acc06430.1
Acc06431,Acc06431.1
Acc06432,Acc06432.1
Acc06433,Acc06433.1
Acc06434,Acc06434.1
Acc06435,Acc06435.1
Acc06436,Acc06436.1
Acc06437,Acc06437.1
Acc06438,Acc06438.1
Acc06439,Acc06439.1
Acc06440,Acc06440.1
Acc06441,Acc06441.1
Acc06442,Acc06442.1
Acc06443,Acc06443.1
Acc06444,Acc06444.1
Acc06445,Acc06445.1
Acc06446,Acc06446.1
Acc06447,Acc06447.1
Acc06448,Acc06448.1
Acc06449,Acc06449.1
Acc06450,Acc06450.1
Acc06451,Acc06451.1
Acc06452,Acc06452.1
Acc06453,Acc06453.1
Acc06454,Acc06454.1
Acc06455,Acc06455.1
Acc06456,Acc06456.1
Acc06457,Acc06457.1
Acc06458,Acc06458.1
Acc06459,Acc06459.1
Acc06460,Acc06460.1
Acc06461,Acc06461.1
Acc06462,Acc06462.1
Acc06463,Acc06463.1
Acc06464,Acc06464.1
Acc06465,Acc06465.1
Acc06466,Acc06466.1
Acc06467,Acc06467.1
Acc06468,Acc06468.1
Acc06470,Acc06470.1
Acc06471,Acc06471.1
Acc06472,Acc06472.1
Acc06473,Acc06473.1
Acc06474,Acc06474.1
Acc06475,Acc06475.1
Acc06476,Acc06476.1
Acc06477,Acc06477.1
Acc06478,Acc06478.1
Acc06479,Acc06479.1
Acc06480,Acc06480.1
Acc06481,Acc06481.1
Acc06482,Acc06482.1
Acc06483,Acc06483.1
Acc06484,Acc06484.1
Acc06485,Acc06485.1
Acc06486,Acc06486.1
Acc06487,Acc06487.1
Acc06488,Acc06488.1
Acc06489,Acc06489.1
Acc06490,Acc06490.1
Acc06491,Acc06491.1
Acc06492,Acc06492.1
Acc06493,Acc06493.1
Acc06494,Acc06494.1
Acc06495,Acc06495.1
Acc06496,Acc06496.1
Acc06497,Acc06497.1
Acc06498,Acc06498.1
Acc06500,Acc06500.1
Acc06501,Acc06501.1
Acc06502,Acc06502.1
Acc06503,Acc06503.1
Acc06505,Acc06505.1
Acc06506,Acc06506.1
Acc06507,Acc06507.1
Acc06508,Acc06508.1
Acc06509,Acc06509.1
Acc06510,Acc06510.1
Acc06511,Acc06511.1
Acc06512,Acc06512.1
Acc06513,Acc06513.1
Acc06514,Acc06514.1
Acc06515,Acc06515.1
Acc06516,Acc06516.1
Acc06517,Acc06517.1
Acc06518,Acc06518.1
Acc06519,Acc06519.1
Acc06520,Acc06520.1
Acc06521,Acc06521.1
Acc06522,Acc06522.1
Acc06523,Acc06523.1
Acc06524,Acc06524.1
Acc06525,Acc06525.1
Acc06526,Acc06526.1
Acc06527,Acc06527.1
Acc06528,Acc06528.1
Acc06529,Acc06529.1
Acc06530,Acc06530.1
Acc06531,Acc06531.1
Acc06532,Acc06532.1
Acc06533,Acc06533.1
Acc06534,Acc06534.1
Acc06535,Acc06535.1
Acc06536,Acc06536.1
Acc06537,Acc06537.1
Acc06538,Acc06538.1
Acc06539,Acc06539.1
Acc06540,Acc06540.1
Acc06541,Acc06541.1
Acc06542,Acc06542.1
Acc06543,Acc06543.1
Acc06544,Acc06544.1
Acc06545,Acc06545.1
Acc06546,Acc06546.1
Acc06547,Acc06547.1
Acc06548,Acc06548.1
Acc06549,Acc06549.1
Acc06550,Acc06550.1
Acc06551,Acc06551.1
Acc06552,Acc06552.1
Acc06553,Acc06553.1
Acc06554,Acc06554.1
Acc06555,Acc06555.1
Acc06556,Acc06556.1
Acc06557,Acc06557.1
Acc06558,Acc06558.1
Acc06559,Acc06559.1
Acc06560,Acc06560.1
Acc06561,Acc06561.1
Acc06562,Acc06562.1
Acc06563,Acc06563.1
Acc06564,Acc06564.1
Acc06565,Acc06565.1
Acc06566,Acc06566.1
Acc06567,Acc06567.1
Acc06568,Acc06568.1
Acc06569,Acc06569.1
Acc06570,Acc06570.1
Acc06571,Acc06571.1
Acc06572,Acc06572.1
Acc06573,Acc06573.1
Acc06574,Acc06574.1
Acc06575,Acc06575.1
Acc06576,Acc06576.1
Acc06577,Acc06577.1
Acc06578,Acc06578.1
Acc06579,Acc06579.1
Acc06580,Acc06580.1
Acc06581,Acc06581.1
Acc06582,Acc06582.1
Acc06583,Acc06583.1
Acc06584,Acc06584.1
Acc06585,Acc06585.1
Acc06586,Acc06586.1
Acc06587,Acc06587.1
Acc06588,Acc06588.1
Acc06589,Acc06589.1
Acc06590,Acc06590.1
Acc06591,Acc06591.1
Acc06592,Acc06592.1
Acc06593,Acc06593.1
Acc06594,Acc06594.1
Acc06595,Acc06595.1
Acc06596,Acc06596.1
Acc06597,Acc06597.1
Acc06598,Acc06598.1
Acc06599,Acc06599.1
Acc06600,Acc06600.1
Acc06601,Acc06601.1
Acc06602,Acc06602.1
Acc06603,Acc06603.1
Acc06604,Acc06604.1
Acc06605,Acc06605.1
Acc06606,Acc06606.1
Acc06607,Acc06607.1
Acc06608,Acc06608.1
Acc06609,Acc06609.1
Acc06610,Acc06610.1
Acc06611,Acc06611.1
Acc06612,Acc06612.1
Acc06613,Acc06613.1
Acc06614,Acc06614.1
Acc06615,Acc06615.1
Acc06616,Acc06616.1
Acc06617,Acc06617.1
Acc06618,Acc06618.1
Acc06619,Acc06619.1
Acc06620,Acc06620.1
Acc06621,Acc06621.1
Acc06622,Acc06622.1
Acc06623,Acc06623.1
Acc06624,Acc06624.1
Acc06625,Acc06625.1
Acc06626,Acc06626.1
Acc06627,Acc06627.1
Acc06628,Acc06628.1
Acc06629,Acc06629.1
Acc06630,Acc06630.1
Acc06631,Acc06631.1
Acc06632,Acc06632.1
Acc06633,Acc06633.1
Acc06634,Acc06634.1
Acc06635,Acc06635.1
Acc06636,Acc06636.1
Acc06637,Acc06637.1
Acc06638,Acc06638.1
Acc06639,Acc06639.1
Acc06640,Acc06640.1
Acc06641,Acc06641.1
Acc06642,Acc06642.1
Acc06643,Acc06643.1
Acc06644,Acc06644.1
Acc06645,Acc06645.1
Acc06646,Acc06646.1
Acc06647,Acc06647.1
Acc06648,Acc06648.1
Acc06649,Acc06649.1
Acc06650,Acc06650.1
Acc06652,Acc06652.1
Acc06653,Acc06653.1
Acc06654,Acc06654.1
Acc06655,Acc06655.1
Acc06656,Acc06656.1
Acc06657,Acc06657.1
Acc06658,Acc06658.1
Acc06659,Acc06659.1
Acc06660,Acc06660.1
Acc06661,Acc06661.1
Acc06662,Acc06662.1
Acc06663,Acc06663.1
Acc06664,Acc06664.1
Acc06665,Acc06665.1
Acc06666,Acc06666.1
Acc06667,Acc06667.1
Acc06668,Acc06668.1
Acc06669,Acc06669.1
Acc06670,Acc06670.1
Acc06671,Acc06671.1
Acc06672,Acc06672.1
Acc06673,Acc06673.1
Acc06674,Acc06674.1
Acc06675,Acc06675.1
Acc06676,Acc06676.1
Acc06677,Acc06677.1
Acc06678,Acc06678.1
Acc06679,Acc06679.1
Acc06680,Acc06680.1
Acc06681,Acc06681.1
Acc06682,Acc06682.1
Acc06683,Acc06683.1
Acc06684,Acc06684.1
Acc06685,Acc06685.1
Acc06686,Acc06686.1
Acc06687,Acc06687.1
Acc06688,Acc06688.1
Acc06689,Acc06689.1
Acc06690,Acc06690.1
Acc06691,Acc06691.1
Acc06692,Acc06692.1
Acc06693,Acc06693.1
Acc06694,Acc06694.1
Acc06695,Acc06695.1
Acc06696,Acc06696.1
Acc06697,Acc06697.1
Acc06698,Acc06698.1
Acc06699,Acc06699.1
Acc06700,Acc06700.1
Acc06701,Acc06701.1
Acc06702,Acc06702.1
Acc06703,Acc06703.1
Acc06704,Acc06704.1
Acc06705,Acc06705.1
Acc06706,Acc06706.1
Acc06707,Acc06707.1
Acc06708,Acc06708.1
Acc06709,Acc06709.1
Acc06710,Acc06710.1
Acc06711,Acc06711.1
Acc06712,Acc06712.1
Acc06713,Acc06713.1
Acc06714,Acc06714.1
Acc06715,Acc06715.1
Acc06716,Acc06716.1
Acc06717,Acc06717.1
Acc06718,Acc06718.1
Acc06719,Acc06719.1
Acc06720,Acc06720.1
Acc06721,Acc06721.1
Acc06722,Acc06722.1
Acc06723,Acc06723.1
Acc06724,Acc06724.1
Acc06725,Acc06725.1
Acc06726,Acc06726.1
Acc06727,Acc06727.1
Acc06728,Acc06728.1
Acc06729,Acc06729.1
Acc06730,Acc06730.1
Acc06731,Acc06731.1
Acc06732,Acc06732.1
Acc06733,Acc06733.1
Acc06734,Acc06734.1
Acc06735,Acc06735.1
Acc06736,Acc06736.1
Acc06737,Acc06737.1
Acc06738,Acc06738.1
Acc06739,Acc06739.1
Acc06740,Acc06740.1
Acc06741,Acc06741.1
Acc06742,Acc06742.2
Acc06743,Acc06743.1
Acc06744,Acc06744.1
Acc06745,Acc06745.1
Acc06746,Acc06746.1
Acc06748,Acc06748.1
Acc06749,Acc06749.1
Acc06750,Acc06750.1
Acc06751,Acc06751.1
Acc06752,Acc06752.1
Acc06753,Acc06753.1
Acc06754,Acc06754.1
Acc06755,Acc06755.1
Acc06756,Acc06756.1
Acc06757,Acc06757.1
Acc06758,Acc06758.1
Acc06759,Acc06759.1
Acc06760,Acc06760.1
Acc06761,Acc06761.1
Acc06762,Acc06762.1
Acc06763,Acc06763.1
Acc06764,Acc06764.1
Acc06765,Acc06765.1
Acc06766,Acc06766.1
Acc06767,Acc06767.1
Acc06768,Acc06768.1
Acc06769,Acc06769.1
Acc06770,Acc06770.1
Acc06771,Acc06771.1
Acc06772,Acc06772.1
Acc06773,Acc06773.1
Acc06774,Acc06774.1
Acc06775,Acc06775.1
Acc06776,Acc06776.1
Acc06777,Acc06777.1
Acc06778,Acc06778.1
Acc06779,Acc06779.1
Acc06780,Acc06780.1
Acc06781,Acc06781.1
Acc06782,Acc06782.1
Acc06783,Acc06783.1
Acc06784,Acc06784.1
Acc06785,Acc06785.1
Acc06786,Acc06786.1
Acc06787,Acc06787.1
Acc06788,Acc06788.1
Acc06789,Acc06789.1
Acc06790,Acc06790.1
Acc06791,Acc06791.1
Acc06792,Acc06792.1
Acc06793,Acc06793.1
Acc06794,Acc06794.1
Acc06795,Acc06795.1
Acc06796,Acc06796.1
Acc06797,Acc06797.1
Acc06798,Acc06798.1
Acc06799,Acc06799.1
Acc06800,Acc06800.1
Acc06801,Acc06801.1
Acc06802,Acc06802.1
Acc06803,Acc06803.1
Acc06804,Acc06804.1
Acc06805,Acc06805.1
Acc06806,Acc06806.1
Acc06807,Acc06807.1
Acc06808,Acc06808.1
Acc06809,Acc06809.1
Acc06810,Acc06810.1
Acc06811,Acc06811.1
Acc06812,Acc06812.1
Acc06813,Acc06813.1
Acc06814,Acc06814.1
Acc06815,Acc06815.1
Acc06816,Acc06816.1
Acc06817,Acc06817.1
Acc06818,Acc06818.1
Acc06819,Acc06819.1
Acc06820,Acc06820.1
Acc06821,Acc06821.1
Acc06822,Acc06822.1
Acc06823,Acc06823.1
Acc06824,Acc06824.2
Acc06825,Acc06825.1
Acc06826,Acc06826.1
