Gene,Transcrit
Acc00169,Acc00169.1
Acc00170,Acc00170.1
Acc00171,Acc00171.1
Acc00172,Acc00172.1
Acc00173,Acc00173.1
Acc00174,Acc00174.1
Acc00175,Acc00175.1
Acc00176,Acc00176.1
Acc00177,Acc00177.1
Acc00178,Acc00178.1
Acc00180,Acc00180.1
Acc00181,Acc00181.1
Acc00182,Acc00182.1
Acc00183,Acc00183.1
Acc00184,Acc00184.1
Acc00185,Acc00185.1
Acc00187,Acc00187.1
Acc00188,Acc00188.1
Acc00189,Acc00189.1
Acc00191,Acc00191.1
Acc00192,Acc00192.1
Acc00194,Acc00194.1
Acc00195,Acc00195.1
Acc00196,Acc00196.1
Acc00197,Acc00197.1
Acc00198,Acc00198.1
Acc00199,Acc00199.1
Acc00201,Acc00201.1
Acc00202,Acc00202.1
Acc00203,Acc00203.1
Acc00204,Acc00204.1
Acc00205,Acc00205.1
Acc00206,Acc00206.1
Acc00207,Acc00207.1
Acc00208,Acc00208.1
Acc00209,Acc00209.1
Acc00211,Acc00211.1
Acc00212,Acc00212.1
Acc00213,Acc00213.1
Acc00214,Acc00214.1
Acc00215,Acc00215.1
Acc00216,Acc00216.1
Acc00216,Acc00216.2
Acc00217,Acc00217.1
Acc00218,Acc00218.1
Acc00220,Acc00220.1
Acc00222,Acc00222.1
Acc00223,Acc00223.1
Acc00224,Acc00224.1
Acc00225,Acc00225.1
Acc00226,Acc00226.1
Acc00227,Acc00227.1
Acc00228,Acc00228.1
Acc00229,Acc00229.1
Acc00230,Acc00230.1
Acc00231,Acc00231.1
Acc00232,Acc00232.1
Acc00233,Acc00233.1
Acc00234,Acc00234.1
Acc00235,Acc00235.1
Acc00236,Acc00236.1
Acc00237,Acc00237.1
Acc00238,Acc00238.1
Acc00239,Acc00239.1
Acc00240,Acc00240.1
Acc00241,Acc00241.1
Acc00242,Acc00242.1
Acc00243,Acc00243.1
Acc00244,Acc00244.1
Acc00245,Acc00245.1
Acc00246,Acc00246.1
Acc00247,Acc00247.1
Acc00248,Acc00248.1
Acc00249,Acc00249.1
Acc00250,Acc00250.1
Acc00251,Acc00251.1
Acc00252,Acc00252.1
Acc00253,Acc00253.1
Acc00254,Acc00254.1
Acc00255,Acc00255.1
Acc00256,Acc00256.1
Acc00257,Acc00257.1
Acc00258,Acc00258.1
Acc00259,Acc00259.1
Acc00260,Acc00260.1
Acc00261,Acc00261.1
Acc00263,Acc00263.1
Acc00264,Acc00264.1
Acc00265,Acc00265.1
Acc00266,Acc00266.1
Acc00267,Acc00267.1
Acc00268,Acc00268.1
Acc00269,Acc00269.1
Acc00270,Acc00270.1
Acc00271,Acc00271.1
Acc00272,Acc00272.1
Acc00274,Acc00274.1
Acc00275,Acc00275.1
Acc00276,Acc00276.1
Acc00277,Acc00277.1
Acc00278,Acc00278.1
Acc00279,Acc00279.1
Acc00280,Acc00280.1
Acc00281,Acc00281.1
Acc00282,Acc00282.1
Acc00283,Acc00283.1
Acc00284,Acc00284.1
Acc00285,Acc00285.1
Acc00286,Acc00286.1
Acc00287,Acc00287.1
Acc00288,Acc00288.1
Acc00289,Acc00289.1
Acc00290,Acc00290.1
Acc00291,Acc00291.1
Acc00292,Acc00292.1
Acc00293,Acc00293.1
Acc00294,Acc00294.1
Acc00295,Acc00295.1
Acc00296,Acc00296.1
Acc00297,Acc00297.1
Acc00298,Acc00298.1
Acc00299,Acc00299.1
Acc00300,Acc00300.1
Acc00301,Acc00301.1
Acc00302,Acc00302.1
Acc00303,Acc00303.1
Acc00304,Acc00304.1
Acc00305,Acc00305.1
Acc00306,Acc00306.1
Acc00310,Acc00310.1
Acc00311,Acc00311.1
Acc00312,Acc00312.1
Acc00313,Acc00313.1
Acc00314,Acc00314.1
Acc00315,Acc00315.1
Acc00316,Acc00316.1
Acc00317,Acc00317.1
Acc00318,Acc00318.1
Acc00319,Acc00319.1
Acc00320,Acc00320.1
Acc00321,Acc00321.1
Acc00322,Acc00322.1
Acc00323,Acc00323.1
Acc00324,Acc00324.1
Acc00325,Acc00325.1
Acc00326,Acc00326.1
