	Photosynthesis	Cellular respiration	Carbohydrate metabolism	Amino acid metabolism	Lipid metabolism	Nucleotide metabolism	Coenzyme metabolism	Polyamine metabolism	Secondary metabolism	Redox homeostasis	Phytohormone action	Chromatin organisation	Cell cycle organisation	DNA damage response	RNA biosynthesis	RNA processing	Protein biosynthesis	Protein modification	Protein homeostasis	Cytoskeleton organisation	Cell wall organisation	Vesicle trafficking	Protein translocation	Solute transport	Nutrient uptake	External stimuli response	Multi-process regulation	not assigned	Enzyme classification
7274																												Acc00242.1	
7275																												Acc00245.1	
7276																												Acc00250.1	
7277																												Acc00251.1	
7278																												Acc00252.1	
7279																												Acc00253.1	
7280																												Acc00261.1	
7281																												Acc00265.1	
7282																												Acc00267.1	
7283																												Acc00269.1	
7284																												Acc00270.1	
7285																												Acc00273.1	
7286																												Acc00274.1	
7287																												Acc00278.1	
7288																												Acc00282.1	
7289																												Acc00283.1	
7290																												Acc00285.1	
7291																												Acc00286.1	
7292																												Acc00287.1	
7293																												Acc00289.1	
7294																												Acc00292.1	
7295																												Acc00298.1	
7296																												Acc00302.1	
7297																												Acc00303.1	
7298																												Acc00308.1	
7299																												Acc00309.1	
7300																												Acc00320.1	
7301																												Acc00321.1	
7302																												Acc00323.1	
7303																												Acc00324.1	
7304																												Acc00326.1	
7305																												Acc00328.1	
7306																												Acc00332.1	
7307																												Acc00333.1	
7308																												Acc00335.1	
7309																												Acc00342.1	
7310																												Acc00345.1	
7311																												Acc00346.1	
7312																												Acc00347.1	
7313																												Acc00351.1	
7314																												Acc00353.1	
7315																												Acc00354.1	
7316																												Acc00360.1	
7317																												Acc00363.1	
7318																												Acc00365.1	
7319																												Acc00372.1	
7320																												Acc00376.1	
7321																												Acc00383.1	
7322																												Acc00384.1	
7323																												Acc00397.1	
7324																												Acc00402.1	
7325																												Acc00405.1	
7326																												Acc00411.1	
7327																												Acc00412.1	
7328																												Acc00415.1	
7329																												Acc00416.1	
7330																												Acc00420.1	
7331																												Acc00424.1	
7332																												Acc00426.1	
7333																												Acc00427.1	
7334																												Acc00430.1	
7335																												Acc00432.1	
7336																												Acc00433.1	
7337																												Acc00434.1	
7338																												Acc00437.1	
7339																												Acc00438.1	
7340																												Acc00440.1	
7341																												Acc00441.1	
7342																												Acc00451.1	
7343																												Acc00454.1	
7344																												Acc00455.1	
7345																												Acc00465.1	
7346																												Acc00466.1	
7347																												Acc00468.1	
7348																												Acc00473.1	
7349																												Acc00474.1	
7350																												Acc00483.1	
7351																												Acc00484.1	
7352																												Acc00487.1	
7353																												Acc00496.1	
7354																												Acc00501.1	
7355																												Acc00503.1	
7356																												Acc00507.1	
7357																												Acc00511.1	
7358																												Acc00513.1	
7359																												Acc00514.1	
7360																												Acc00516.1	
7361																												Acc00519.1	
7362																												Acc00520.1	
7363																												Acc00523.1	
7364																												Acc00524.1	
7365																												Acc00543.1	
7366																												Acc00545.1	
7367																												Acc00552.1	
7368																												Acc00564.1	
7369																												Acc00568.1	
7370																												Acc00569.1	
7371																												Acc00572.1	
7372																												Acc00573.1	
7373																												Acc00575.1	
7374																												Acc00578.1	
7375																												Acc00579.1	
7376																												Acc00580.1	
7377																												Acc00582.1	
7378																												Acc00584.1	
7379																												Acc00586.1	
7380																												Acc00588.1	
7381																												Acc00592.1	
7382																												Acc00594.1	
7383																												Acc00601.1	
7384																												Acc00602.1	
7385																												Acc00603.1	
7386																												Acc00604.1	
7387																												Acc00606.1	
7388																												Acc00609.1	
7389																												Acc00610.1	
7390																												Acc00612.1	
7391																												Acc00616.1	
7392																												Acc00619.1	
7393																												Acc00625.1	
7394																												Acc00626.1	
7395																												Acc00627.1	
7396																												Acc00633.1	
7397																												Acc00639.1	
7398																												Acc00641.1	
7399																												Acc00645.1	
7400																												Acc00651.1	
7401																												Acc00655.1	
7402																												Acc00657.1	
7403																												Acc00660.1	
7404																												Acc00661.1	
7405																												Acc00662.1	
7406																												Acc00665.1	
7407																												Acc00666.1	
7408																												Acc00670.1	
7409																												Acc00676.1	
7410																												Acc00677.1	
7411																												Acc00678.1	
7412																												Acc00680.1	
7413																												Acc00681.1	
7414																												Acc00684.1	
7415																												Acc00685.1	
7416																												Acc00687.1	
7417																												Acc00692.1	
7418																												Acc00696.1	
7419																												Acc00703.1	
7420																												Acc00709.1	
7421																												Acc00710.1	
7422																												Acc00711.1	
7423																												Acc00712.1	
7424																												Acc00713.1	
7425																												Acc00714.1	
7426																												Acc00717.1	
7427																												Acc00718.1	
7428																												Acc00719.1	
7429																												Acc00724.1	
7430																												Acc00728.1	
7431																												Acc00729.1	
7432																												Acc00730.1	
7433																												Acc00736.1	
7434																												Acc00739.1	
7435																												Acc00741.1	
7436																												Acc00742.1	
7437																												Acc00745.1	
7438																												Acc00748.1	
7439																												Acc00749.1	
7440																												Acc00761.1	
7441																												Acc00768.1	
7442																												Acc00771.1	
7443																												Acc00772.1	
7444																												Acc00776.1	
7445																												Acc00777.1	
7446																												Acc00779.1	
7447																												Acc00781.1	
7448																												Acc00782.1	
7449																												Acc00783.1	
7450																												Acc00789.1	
7451																												Acc00791.1	
7452																												Acc00797.1	
7453																												Acc00798.1	
7454																												Acc00800.1	
7455																												Acc00808.1	
7456																												Acc00820.1	
7457																												Acc00823.1	
7458																												Acc00825.1	
7459																												Acc00826.1	
7460																												Acc00829.1	
7461																												Acc00836.1	
7462																												Acc00838.1	
7463																												Acc00841.1	
7464																												Acc00843.1	
7465																												Acc00844.1	
7466																												Acc00845.1	
7467																												Acc00847.1	
7468																												Acc00848.1	
7469																												Acc00851.1	
7470																												Acc00853.1	
7471																												Acc00867.1	
7472																												Acc00877.1	
7473																												Acc00878.1	
7474																												Acc00889.1	
7475																												Acc00891.1	
7476																												Acc00895.1	
7477																												Acc00904.1	
7478																												Acc00908.1	
7479																												Acc00914.1	
7480																												Acc00915.1	
7481																												Acc00927.1	
7482																												Acc00930.1	
7483																												Acc00939.1	
7484																												Acc00940.1	
7485																												Acc00942.1	
7486																												Acc00943.1	
7487																												Acc00944.1	
7488																												Acc00958.1	
7489																												Acc00979.1	
7490																												Acc00986.1	
7491																												Acc00987.1	
7492																												Acc00988.1	
7493																												Acc00990.1	
7494																												Acc00991.1	
7495																												Acc00992.1	
7496																												Acc00997.1	
7497																												Acc00999.1	
7498																												Acc01006.1	
7499																												Acc01007.1	
7500																												Acc01012.1	
7501																												Acc01015.1	
7502																												Acc01016.1	
7503																												Acc01020.1	
7504																												Acc01026.1	
7505																												Acc01027.1	
7506																												Acc01029.1	
7507																												Acc01030.1	
7508																												Acc01034.1	
7509																												Acc01035.1	
7510																												Acc01041.1	
7511																												Acc01043.1	
7512																												Acc01046.1	
7513																												Acc01047.1	
7514																												Acc01050.1	
7515																												Acc01052.1	
7516																												Acc01053.1	
7517																												Acc01058.1	
7518																												Acc01063.1	
7519																												Acc01066.1	
7520																												Acc01067.1	
7521																												Acc01069.1	
7522																												Acc01076.1	
7523																												Acc01079.1	
7524																												Acc01088.1	
7525																												Acc01088.2	
7526																												Acc01089.1	
7527																												Acc01091.1	
7528																												Acc01099.1	
7529																												Acc01104.1	
7530																												Acc01108.1	
7531																												Acc01110.1	
7532																												Acc01116.1	
7533																												Acc01124.1	
7534																												Acc01125.1	
7535																												Acc01132.1	
7536																												Acc01135.1	
7537																												Acc01136.1	
7538																												Acc01139.1	
7539																												Acc01150.1	
7540																												Acc01152.1	
7541																												Acc01155.1	
7542																												Acc01157.1	
7543																												Acc01158.1	
7544																												Acc01159.1	
7545																												Acc01161.1	
7546																												Acc01162.1	
7547																												Acc01163.1	
7548																												Acc01167.1	
7549																												Acc01171.1	
7550																												Acc01175.1	
7551																												Acc01184.1	
7552																												Acc01187.1	
7553																												Acc01189.1	
7554																												Acc01190.1	
7555																												Acc01191.1	
7556																												Acc01192.1	
7557																												Acc01193.1	
7558																												Acc01194.1	
7559																												Acc01197.1	
7560																												Acc01203.1	
7561																												Acc01204.1	
7562																												Acc01212.1	
7563																												Acc01218.1	
7564																												Acc01219.1	
7565																												Acc01233.1	
7566																												Acc01236.1	
7567																												Acc01237.1	
7568																												Acc01238.1	
7569																												Acc01240.1	
7570																												Acc01242.1	
7571																												Acc01247.1	
7572																												Acc01250.1	
7573																												Acc01251.1	
7574																												Acc01253.1	
7575																												Acc01259.1	
7576																												Acc01261.1	
7577																												Acc01264.1	
7578																												Acc01265.1	
7579																												Acc01267.1	
7580																												Acc01268.1	
7581																												Acc01271.1	
7582																												Acc01278.1	
7583																												Acc01285.1	
7584																												Acc01287.1	
7585																												Acc01291.1	
7586																												Acc01292.1	
7587																												Acc01294.1	
7588																												Acc01295.1	
7589																												Acc01299.1	
7590																												Acc01307.1	
7591																												Acc01311.1	
7592																												Acc01312.1	
7593																												Acc01314.1	
7594																												Acc01315.1	
7595																												Acc01316.1	
7596																												Acc01319.1	
7597																												Acc01320.1	
7598																												Acc01321.1	
7599																												Acc01322.1	
7600																												Acc01323.1	
7601																												Acc01324.1	
7602																												Acc01329.1	
7603																												Acc01330.1	
7604																												Acc01332.1	
7605																												Acc01336.1	
7606																												Acc01339.1	
7607																												Acc01345.1	
7608																												Acc01346.1	
7609																												Acc01350.1	
7610																												Acc01355.1	
7611																												Acc01359.1	
7612																												Acc01364.1	
7613																												Acc01365.1	
7614																												Acc01373.1	
7615																												Acc01374.1	
7616																												Acc01376.1	
7617																												Acc01377.1	
7618																												Acc01378.1	
7619																												Acc01379.1	
7620																												Acc01380.1	
7621																												Acc01381.1	
7622																												Acc01382.1	
7623																												Acc01391.1	
7624																												Acc01394.1	
7625																												Acc01397.1	
7626																												Acc01398.1	
7627																												Acc01401.1	
7628																												Acc01402.1	
7629																												Acc01403.1	
7630																												Acc01406.1	
7631																												Acc01408.1	
7632																												Acc01413.1	
7633																												Acc01414.1	
7634																												Acc01416.1	
7635																												Acc01417.1	
7636																												Acc01421.1	
7637																												Acc01429.1	
7638																												Acc01440.1	
7639																												Acc01441.1	
7640																												Acc01443.1	
7641																												Acc01455.1	
7642																												Acc01460.1	
7643																												Acc01462.1	
7644																												Acc01465.1	
7645																												Acc01474.1	
7646																												Acc01476.1	
7647																												Acc01477.1	
7648																												Acc01478.1	
7649																												Acc01479.1	
7650																												Acc01484.1	
7651																												Acc01488.1	
7652																												Acc01489.1	
7653																												Acc01495.1	
7654																												Acc01496.1	
7655																												Acc01497.1	
7656																												Acc01499.1	
7657																												Acc01501.1	
7658																												Acc01509.1	
7659																												Acc01510.1	
7660																												Acc01522.1	
7661																												Acc01523.1	
7662																												Acc01525.1	
7663																												Acc01526.1	
7664																												Acc01528.1	
7665																												Acc01530.1	
7666																												Acc01531.1	
7667																												Acc01561.1	
7668																												Acc01566.1	
7669																												Acc01575.1	
7670																												Acc01576.1	
7671																												Acc01579.1	
7672																												Acc01583.1	
7673																												Acc01584.1	
7674																												Acc01589.1	
7675																												Acc01602.1	
7676																												Acc01606.1	
7677																												Acc01609.1	
7678																												Acc01612.1	
7679																												Acc01614.1	
7680																												Acc01617.1	
7681																												Acc01621.1	
7682																												Acc01625.1	
7683																												Acc01634.1	
7684																												Acc01637.1	
7685																												Acc01642.1	
7686																												Acc01643.1	
7687																												Acc01644.1	
7688																												Acc01645.1	
7689																												Acc01649.1	
7690																												Acc01651.1	
7691																												Acc01654.1	
7692																												Acc01655.1	
7693																												Acc01656.1	
7694																												Acc01658.1	
7695																												Acc01668.1	
7696																												Acc01670.1	
7697																												Acc01696.1	
7698																												Acc01699.1	
7699																												Acc01700.1	
7700																												Acc01705.1	
7701																												Acc01706.1	
7702																												Acc01707.1	
7703																												Acc01710.1	
7704																												Acc01711.1	
7705																												Acc01712.1	
7706																												Acc01714.1	
7707																												Acc01720.1	
7708																												Acc01730.1	
7709																												Acc01731.1	
7710																												Acc01732.1	
7711																												Acc01735.1	
7712																												Acc01743.1	
7713																												Acc01750.1	
7714																												Acc01753.1	
7715																												Acc01756.1	
7716																												Acc01759.1	
7717																												Acc01761.1	
7718																												Acc01765.1	
7719																												Acc01771.1	
7720																												Acc01778.1	
7721																												Acc01782.1	
7722																												Acc01796.1	
7723																												Acc01798.1	
7724																												Acc01801.1	
7725																												Acc01802.1	
7726																												Acc01828.1	
7727																												Acc01830.1	
7728																												Acc01836.1	
7729																												Acc01840.1	
7730																												Acc01842.1	
7731																												Acc01843.1	
7732																												Acc01844.1	
7733																												Acc01849.1	
7734																												Acc01855.1	
7735																												Acc01858.1	
7736																												Acc01859.1	
7737																												Acc01861.1	
7738																												Acc01865.1	
7739																												Acc01867.1	
7740																												Acc01873.1	
7741																												Acc01877.1	
7742																												Acc01878.1	
7743																												Acc01883.1	
7744																												Acc01889.1	
7745																												Acc01891.1	
7746																												Acc01901.1	
7747																												Acc01902.1	
7748																												Acc01903.1	
7749																												Acc01904.1	
7750																												Acc01906.1	
7751																												Acc01909.1	
7752																												Acc01911.1	
7753																												Acc01915.1	
7754																												Acc01934.1	
7755																												Acc01937.1	
7756																												Acc01938.1	
7757																												Acc01941.1	
7758																												Acc01944.1	
7759																												Acc01949.1	
7760																												Acc01950.1	
7761																												Acc01954.1	
7762																												Acc01963.1	
7763																												Acc01965.1	
7764																												Acc01968.1	
7765																												Acc01969.1	
7766																												Acc01970.1	
7767																												Acc01977.1	
7768																												Acc01978.1	
7769																												Acc01983.1	
7770																												Acc01984.1	
7771																												Acc01985.1	
7772																												Acc01986.1	
7773																												Acc01987.1	
7774																												Acc02003.1	
7775																												Acc02010.1	
7776																												Acc02012.1	
7777																												Acc02015.1	
7778																												Acc02016.1	
7779																												Acc02018.1	
7780																												Acc02019.1	
7781																												Acc02022.1	
7782																												Acc02026.1	
7783																												Acc02027.1	
7784																												Acc02028.1	
7785																												Acc02030.1	
7786																												Acc02034.1	
7787																												Acc02035.1	
7788																												Acc02040.1	
7789																												Acc02047.1	
7790																												Acc02048.1	
7791																												Acc02057.1	
7792																												Acc02060.1	
7793																												Acc02061.1	
7794																												Acc02063.1	
7795																												Acc02065.1	
7796																												Acc02075.1	
7797																												Acc02090.1	
7798																												Acc02091.1	
7799																												Acc02094.1	
7800																												Acc02097.1	
7801																												Acc02100.1	
7802																												Acc02106.1	
7803																												Acc02115.1	
7804																												Acc02126.1	
7805																												Acc02135.1	
7806																												Acc02136.1	
7807																												Acc02142.1	
7808																												Acc02143.1	
7809																												Acc02151.1	
7810																												Acc02155.1	
7811																												Acc02159.1	
7812																												Acc02161.1	
7813																												Acc02169.1	
7814																												Acc02173.1	
7815																												Acc02176.1	
7816																												Acc02177.1	
7817																												Acc02180.1	
7818																												Acc02184.1	
7819																												Acc02187.1	
7820																												Acc02190.1	
7821																												Acc02194.1	
7822																												Acc02196.1	
7823																												Acc02197.1	
7824																												Acc02202.1	
7825																												Acc02207.1	
7826																												Acc02208.1	
7827																												Acc02213.1	
7828																												Acc02216.1	
7829																												Acc02218.1	
7830																												Acc02219.1	
7831																												Acc02222.1	
7832																												Acc02225.1	
7833																												Acc02226.1	
7834																												Acc02227.1	
7835																												Acc02229.1	
7836																												Acc02231.1	
7837																												Acc02233.1	
7838																												Acc02237.1	
7839																												Acc02263.1	
7840																												Acc02266.1	
7841																												Acc02267.1	
7842																												Acc02268.1	
7843																												Acc02269.1	
7844																												Acc02275.1	
7845																												Acc02276.1	
7846																												Acc02280.1	
7847																												Acc02290.1	
7848																												Acc02294.1	
7849																												Acc02303.1	
7850																												Acc02304.1	
7851																												Acc02310.1	
7852																												Acc02320.1	
7853																												Acc02321.1	
7854																												Acc02328.1	
7855																												Acc02330.1	
7856																												Acc02339.1	
7857																												Acc02340.1	
7858																												Acc02342.1	
7859																												Acc02352.1	
7860																												Acc02359.1	
7861																												Acc02362.1	
7862																												Acc02365.1	
7863																												Acc02367.1	
7864																												Acc02370.1	
7865																												Acc02375.1	
7866																												Acc02377.1	
7867																												Acc02380.1	
7868																												Acc02381.1	
7869																												Acc02384.1	
7870																												Acc02389.1	
7871																												Acc02392.1	
7872																												Acc02394.1	
7873																												Acc02396.1	
7874																												Acc02401.1	
7875																												Acc02403.1	
7876																												Acc02404.1	
7877																												Acc02405.1	
7878																												Acc02406.1	
7879																												Acc02408.1	
7880																												Acc02409.1	
7881																												Acc02412.1	
7882																												Acc02420.1	
7883																												Acc02422.1	
7884																												Acc02423.1	
7885																												Acc02433.1	
7886																												Acc02440.1	
7887																												Acc02445.1	
7888																												Acc02451.1	
7889																												Acc02457.1	
7890																												Acc02458.1	
7891																												Acc02460.1	
7892																												Acc02462.1	
7893																												Acc02464.1	
7894																												Acc02470.1	
7895																												Acc02471.1	
7896																												Acc02484.1	
7897																												Acc02485.1	
7898																												Acc02489.1	
7899																												Acc02494.1	
7900																												Acc02498.1	
7901																												Acc02503.1	
7902																												Acc02505.1	
7903																												Acc02508.1	
7904																												Acc02514.1	
7905																												Acc02515.1	
7906																												Acc02516.1	
7907																												Acc02519.1	
7908																												Acc02520.1	
7909																												Acc02521.1	
7910																												Acc02527.1	
7911																												Acc02530.1	
7912																												Acc02532.1	
7913																												Acc02534.1	
7914																												Acc02536.1	
7915																												Acc02537.1	
7916																												Acc02538.1	
7917																												Acc02540.1	
7918																												Acc02542.1	
7919																												Acc02544.1	
7920																												Acc02549.1	
7921																												Acc02552.1	
7922																												Acc02558.1	
7923																												Acc02567.1	
7924																												Acc02568.1	
7925																												Acc02569.1	
7926																												Acc02570.1	
7927																												Acc02571.1	
7928																												Acc02573.1	
7929																												Acc02574.1	
7930																												Acc02582.1	
7931																												Acc02585.1	
7932																												Acc02590.1	
7933																												Acc02593.1	
7934																												Acc02601.1	
7935																												Acc02607.1	
7936																												Acc02614.1	
7937																												Acc02616.1	
7938																												Acc02622.1	
7939																												Acc02623.1	
7940																												Acc02624.1	
7941																												Acc02634.1	
7942																												Acc02635.1	
7943																												Acc02638.1	
7944																												Acc02649.1	
7945																												Acc02654.1	
7946																												Acc02655.1	
7947																												Acc02656.1	
7948																												Acc02657.1	
7949																												Acc02659.1	
7950																												Acc02660.1	
7951																												Acc02661.1	
7952																												Acc02662.1	
7953																												Acc02671.1	
7954																												Acc02674.1	
7955																												Acc02676.1	
7956																												Acc02677.1	
7957																												Acc02686.1	
7958																												Acc02690.1	
7959																												Acc02694.1	
7960																												Acc02696.1	
7961																												Acc02703.1	
7962																												Acc02706.1	
7963																												Acc02709.1	
7964																												Acc02710.1	
7965																												Acc02721.1	
7966																												Acc02722.1	
7967																												Acc02726.1	
7968																												Acc02737.1	
7969																												Acc02740.1	
7970																												Acc02745.1	
7971																												Acc02749.1	
7972																												Acc02750.1	
7973																												Acc02757.1	
7974																												Acc02761.1	
7975																												Acc02763.1	
7976																												Acc02764.1	
7977																												Acc02765.1	
7978																												Acc02767.1	
7979																												Acc02768.1	
7980																												Acc02770.1	
7981																												Acc02772.1	
7982																												Acc02776.1	
7983																												Acc02783.1	
7984																												Acc02784.1	
7985																												Acc02788.1	
7986																												Acc02792.1	
7987																												Acc02793.1	
7988																												Acc02796.1	
7989																												Acc02798.1	
7990																												Acc02800.1	
7991																												Acc02803.1	
7992																												Acc02805.1	
7993																												Acc02826.1	
7994																												Acc02831.1	
7995																												Acc02838.1	
7996																												Acc02841.1	
7997																												Acc02846.1	
7998																												Acc02859.1	
7999																												Acc02863.1	
8000																												Acc02865.1	
8001																												Acc02869.1	
8002																												Acc02882.1	
8003																												Acc02886.1	
8004																												Acc02888.1	
8005																												Acc02889.1	
8006																												Acc02896.1	
8007																												Acc02900.1	
8008																												Acc02902.1	
8009																												Acc02903.1	
8010																												Acc02914.1	
8011																												Acc02942.1	
8012																												Acc02943.1	
8013																												Acc02946.1	
8014																												Acc02947.1	
8015																												Acc02950.1	
8016																												Acc02951.1	
8017																												Acc02953.1	
8018																												Acc02956.1	
8019																												Acc02963.1	
8020																												Acc02973.1	
8021																												Acc02982.1	
8022																												Acc02985.1	
8023																												Acc02989.1	
8024																												Acc02992.1	
8025																												Acc02996.1	
8026																												Acc03017.1	
8027																												Acc03021.1	
8028																												Acc03026.1	
8029																												Acc03028.1	
8030																												Acc03034.1	
8031																												Acc03036.1	
8032																												Acc03038.1	
8033																												Acc03041.1	
8034																												Acc03043.1	
8035																												Acc03052.1	
8036																												Acc03056.1	
8037																												Acc03060.1	
8038																												Acc03067.1	
8039																												Acc03069.1	
8040																												Acc03079.1	
8041																												Acc03080.1	
8042																												Acc03085.1	
8043																												Acc03097.1	
8044																												Acc03098.1	
8045																												Acc03101.1	
8046																												Acc03103.1	
8047																												Acc03107.1	
8048																												Acc03108.1	
8049																												Acc03112.1	
8050																												Acc03114.1	
8051																												Acc03118.1	
8052																												Acc03121.1	
8053																												Acc03135.1	
8054																												Acc03138.1	
8055																												Acc03139.1	
8056																												Acc03140.1	
8057																												Acc03145.1	
8058																												Acc03159.1	
8059																												Acc03164.1	
8060																												Acc03172.1	
8061																												Acc03174.1	
8062																												Acc03175.1	
8063																												Acc03178.1	
8064																												Acc03183.1	
8065																												Acc03193.1	
8066																												Acc03194.1	
8067																												Acc03198.1	
8068																												Acc03201.1	
8069																												Acc03205.1	
8070																												Acc03206.1	
8071																												Acc03207.1	
8072																												Acc03213.1	
8073																												Acc03216.1	
8074																												Acc03221.1	
8075																												Acc03224.1	
8076																												Acc03225.1	
8077																												Acc03228.1	
8078																												Acc03229.1	
8079																												Acc03237.1	
8080																												Acc03243.1	
8081																												Acc03244.1	
8082																												Acc03247.1	
8083																												Acc03248.1	
8084																												Acc03249.1	
8085																												Acc03250.1	
8086																												Acc03254.1	
8087																												Acc03256.1	
8088																												Acc03258.1	
8089																												Acc03259.1	
8090																												Acc03273.1	
8091																												Acc03274.1	
8092																												Acc03277.1	
8093																												Acc03279.1	
8094																												Acc03281.1	
8095																												Acc03285.1	
8096																												Acc03288.1	
8097																												Acc03289.1	
8098																												Acc03292.1	
8099																												Acc03296.1	
8100																												Acc03297.1	
8101																												Acc03301.1	
8102																												Acc03303.1	
8103																												Acc03305.1	
8104																												Acc03318.1	
8105																												Acc03322.1	
8106																												Acc03323.1	
8107																												Acc03324.1	
8108																												Acc03326.1	
8109																												Acc03327.1	
8110																												Acc03334.1	
8111																												Acc03338.1	
8112																												Acc03340.1	
8113																												Acc03343.1	
8114																												Acc03344.1	
8115																												Acc03348.1	
8116																												Acc03349.1	
8117																												Acc03350.1	
8118																												Acc03352.1	
8119																												Acc03355.1	
8120																												Acc03359.1	
8121																												Acc03361.1	
8122																												Acc03374.1	
8123																												Acc03380.1	
8124																												Acc03382.1	
8125																												Acc03383.1	
8126																												Acc03385.1	
8127																												Acc03387.1	
8128																												Acc03392.1	
8129																												Acc03395.1	
8130																												Acc03401.1	
8131																												Acc03402.1	
8132																												Acc03403.1	
8133																												Acc03404.1	
8134																												Acc03405.1	
8135																												Acc03406.1	
8136																												Acc03407.1	
8137																												Acc03412.1	
8138																												Acc03415.1	
8139																												Acc03420.1	
8140																												Acc03422.1	
8141																												Acc03423.1	
8142																												Acc03424.1	
8143																												Acc03427.1	
8144																												Acc03429.1	
8145																												Acc03443.1	
8146																												Acc03451.1	
8147																												Acc03458.1	
8148																												Acc03462.1	
8149																												Acc03464.1	
8150																												Acc03465.1	
8151																												Acc03475.1	
8152																												Acc03478.1	
8153																												Acc03479.1	
8154																												Acc03488.1	
8155																												Acc03489.1	
8156																												Acc03489.2	
8157																												Acc03498.1	
8158																												Acc03502.1	
8159																												Acc03505.1	
8160																												Acc03510.1	
8161																												Acc03521.1	
8162																												Acc03526.1	
8163																												Acc03528.1	
8164																												Acc03529.1	
8165																												Acc03532.1	
8166																												Acc03534.1	
8167																												Acc03539.1	
8168																												Acc03542.1	
8169																												Acc03543.1	
8170																												Acc03550.1	
8171																												Acc03555.1	
8172																												Acc03569.1	
8173																												Acc03575.1	
8174																												Acc03595.1	
8175																												Acc03597.1	
8176																												Acc03598.1	
8177																												Acc03612.1	
8178																												Acc03617.1	
8179																												Acc03618.1	
8180																												Acc03619.1	
8181																												Acc03621.1	
8182																												Acc03626.1	
8183																												Acc03627.1	
8184																												Acc03629.1	
8185																												Acc03632.1	
8186																												Acc03634.1	
8187																												Acc03637.1	
8188																												Acc03639.1	
8189																												Acc03643.1	
8190																												Acc03650.1	
8191																												Acc03652.1	
8192																												Acc03658.1	
8193																												Acc03671.1	
8194																												Acc03672.1	
8195																												Acc03679.1	
8196																												Acc03680.1	
8197																												Acc03685.1	
8198																												Acc03688.1	
8199																												Acc03697.1	
8200																												Acc03707.1	
8201																												Acc03714.1	
8202																												Acc03719.1	
8203																												Acc03727.1	
8204																												Acc03728.1	
8205																												Acc03742.1	
8206																												Acc03746.1	
8207																												Acc03749.1	
8208																												Acc03752.1	
8209																												Acc03754.1	
8210																												Acc03756.1	
8211																												Acc03765.1	
8212																												Acc03771.1	
8213																												Acc03782.1	
8214																												Acc03789.1	
8215																												Acc03791.1	
8216																												Acc03813.1	
8217																												Acc03816.1	
8218																												Acc03820.1	
8219																												Acc03821.1	
8220																												Acc03825.1	
8221																												Acc03829.1	
8222																												Acc03830.1	
8223																												Acc03832.1	
8224																												Acc03840.1	
8225																												Acc03851.1	
8226																												Acc03853.1	
8227																												Acc03857.1	
8228																												Acc03859.1	
8229																												Acc03871.1	
8230																												Acc03887.1	
8231																												Acc03889.1	
8232																												Acc03895.1	
8233																												Acc03899.1	
8234																												Acc03900.1	
8235																												Acc03902.1	
8236																												Acc03903.1	
8237																												Acc03904.1	
8238																												Acc03905.1	
8239																												Acc03910.1	
8240																												Acc03912.1	
8241																												Acc03914.1	
8242																												Acc03923.1	
8243																												Acc03928.1	
8244																												Acc03933.1	
8245																												Acc03940.1	
8246																												Acc03944.1	
8247																												Acc03948.1	
8248																												Acc03949.1	
8249																												Acc03950.1	
8250																												Acc03951.1	
8251																												Acc03952.1	
8252																												Acc03954.1	
8253																												Acc03959.1	
8254																												Acc03976.1	
8255																												Acc03979.1	
8256																												Acc03980.1	
8257																												Acc03981.1	
8258																												Acc03983.1	
8259																												Acc03984.1	
8260																												Acc03986.1	
8261																												Acc03992.1	
8262																												Acc03994.1	
8263																												Acc03995.1	
8264																												Acc03999.1	
8265																												Acc04016.1	
8266																												Acc04022.1	
8267																												Acc04026.1	
8268																												Acc04036.1	
8269																												Acc04039.1	
8270																												Acc04045.1	
8271																												Acc04048.1	
8272																												Acc04056.1	
8273																												Acc04066.1	
8274																												Acc04069.1	
8275																												Acc04070.1	
8276																												Acc04075.1	
8277																												Acc04081.1	
8278																												Acc04085.1	
8279																												Acc04088.1	
8280																												Acc04089.1	
8281																												Acc04093.1	
8282																												Acc04102.1	
8283																												Acc04105.1	
8284																												Acc04106.1	
8285																												Acc04107.1	
8286																												Acc04111.1	
8287																												Acc04114.1	
8288																												Acc04121.1	
8289																												Acc04122.1	
8290																												Acc04125.1	
8291																												Acc04126.1	
8292																												Acc04131.1	
8293																												Acc04132.1	
8294																												Acc04144.1	
8295																												Acc04145.1	
8296																												Acc04146.1	
