	Photosynthesis	Cellular respiration	Carbohydrate metabolism	Amino acid metabolism	Lipid metabolism	Nucleotide metabolism	Coenzyme metabolism	Polyamine metabolism	Secondary metabolism	Redox homeostasis	Phytohormone action	Chromatin organisation	Cell cycle organisation	DNA damage response	RNA biosynthesis	RNA processing	Protein biosynthesis	Protein modification	Protein homeostasis	Cytoskeleton organisation	Cell wall organisation	Vesicle trafficking	Protein translocation	Solute transport	Nutrient uptake	External stimuli response	Multi-process regulation	not assigned	Enzyme classification
22	Acc18280.1	Acc18050.1	Acc09358.1	Acc29746.1	Acc22277.1	Acc15788.1	Acc03176.1	Acc03311.1	Acc04823.1	Acc22834.1	Acc07581.1	Acc19508.1	Acc00557.1	Acc22174.1	Acc23107.1	Acc27895.1	Acc25874.1	Acc03699.1	Acc22250.1	Acc16474.1	Acc23163.1	Acc30090.1	Acc22136.1	Acc12895.1	Acc30134.1	Acc15611.1	Acc22758.1	Acc00070.1	Acc06449.1
23	Acc06071.1	Acc22057.1	Acc10484.1	Acc04853.1	Acc26938.1	Acc16751.1	Acc06640.1	Acc20294.1	Acc23857.1	Acc27256.1	Acc08702.1	Acc19591.1	Acc01195.1	Acc22220.1	Acc33206.1	Acc27984.1	Acc14367.1	Acc27822.1	Acc15285.1	Acc20005.1	Acc09712.1	Acc32140.1	Acc29566.1	Acc17572.1	Acc32193.1	Acc20078.1	Acc27391.1	Acc00071.1	Acc06537.1
24	Acc06072.1	Acc26808.1	Acc24242.1	Acc23881.1	Acc28624.1	Acc17868.1	Acc08469.1	Acc22801.1	Acc07722.1	Acc30117.1	Acc09209.1	Acc21661.1	Acc04754.1	Acc00140.1	Acc01428.1	Acc03452.1	Acc32659.1	Acc09421.1	Acc19672.1	Acc20011.1	Acc12892.1	Acc15898.1	Acc15443.1	Acc07148.1	Acc22033.1	Acc15242.1	Acc06769.1	Acc00078.1	Acc06538.1
25	Acc31047.1	Acc29705.1	Acc24243.1	Acc05343.1	Acc29120.1	Acc22471.1	Acc08519.1	Acc28231.1	Acc16172.1	Acc32173.1	Acc15902.1	Acc21662.1	Acc04782.1	Acc04548.1	Acc02697.1	Acc03453.1	Acc14654.1	Acc19648.1	Acc25476.1	Acc23558.1	Acc17578.1	Acc28999.1	Acc17866.1	Acc10816.1	Acc26777.1	Acc25514.1	Acc09250.1	Acc00090.1	Acc06539.1
26	Acc18600.1	Acc30558.1	Acc06472.1	Acc08121.1	Acc17496.1	Acc23804.1	Acc19715.1	Acc33356.1	Acc00743.1	Acc33148.1	Acc15937.1	Acc22182.1	Acc04871.1	Acc08793.1	Acc25838.1	Acc28066.1	Acc14655.1	Acc31609.1	Acc31557.1	Acc25830.1	Acc22926.1	Acc11907.1	Acc22472.1	Acc16334.1	Acc05104.1	Acc10691.1	Acc09251.1	Acc00093.1	Acc06540.1
27	Acc19093.1	Acc32767.1	Acc11414.1	Acc08122.1	Acc18043.1	Acc28919.1	Acc20465.1	Acc33575.1	Acc00775.1	Acc02238.1	Acc19787.1	Acc22228.1	Acc06013.1	Acc22593.1	Acc27386.1	Acc07904.1	Acc25632.1	Acc19135.1	Acc17908.1	Acc28062.1	Acc33193.1	Acc11943.1	Acc20864.1	Acc17982.1	Acc31396.1	Acc14688.1	Acc17025.1	Acc00095.1	Acc07897.1
28	Acc20587.1	Acc00699.1	Acc14495.1	Acc24245.1	Acc19383.1	Acc04955.1	Acc21491.1	Acc00875.1	Acc04331.1	Acc03996.1	Acc20289.1	Acc24855.1	Acc06253.1	Acc28645.1	Acc27387.1	Acc10982.1	Acc13795.1	Acc02243.1	Acc22142.1	Acc28846.1	Acc17002.1	Acc02483.1	Acc25334.1	Acc22103.1	Acc06950.1	Acc18805.1	Acc21197.1	Acc00096.1	Acc07936.1
29	Acc25048.1	Acc29219.1	Acc15447.1	Acc01622.1	Acc25000.1	Acc23999.1	Acc22913.1	Acc00879.1	Acc05388.1	Acc30850.1	Acc27838.1	Acc25886.1	Acc06877.1	Acc21684.1	Acc03105.1	Acc31147.1	Acc19017.1	Acc07704.1	Acc26892.1	Acc31781.1	Acc06031.1	Acc12491.1	Acc25335.1	Acc26848.1	Acc07921.1	Acc24308.1	Acc02209.1	Acc00101.1	Acc08117.1
30	Acc26252.1	Acc21566.1	Acc18783.1	Acc16836.1	Acc29709.1	Acc24755.1	Acc33237.1	Acc07635.1	Acc07941.1	Acc09107.1	Acc28148.1	Acc26360.1	Acc06930.1	Acc01932.1	Acc17151.1	Acc20800.1	Acc20936.1	Acc24883.1	Acc29556.1	Acc09196.1	Acc12044.1	Acc29147.1	Acc21537.1	Acc29626.1	Acc26571.1	Acc25685.1	Acc03417.1	Acc00104.1	Acc08118.1
31	Acc33447.1	Acc21567.1	Acc13330.1	Acc23110.1	Acc33292.1	Acc27437.1	Acc08798.1	Acc24272.1	Acc10108.1	Acc01624.1	Acc29003.1	Acc26361.1	Acc10304.1	Acc03095.1	Acc18527.1	Acc25242.1	Acc10591.1	Acc03573.1	Acc01806.1	Acc19801.1	Acc31002.1	Acc33528.1	Acc26245.1	Acc18885.1	Acc22821.1	Acc29921.1	Acc19841.1	Acc00109.1	Acc08138.1
32	Acc07767.1	Acc26270.1	Acc23001.1	Acc25227.1	Acc01370.1	Acc06297.1	Acc29690.1	Acc15769.1	Acc12472.1	Acc02871.1	Acc29098.1	Acc31295.1	Acc10528.1	Acc24331.1	Acc22890.1	Acc00697.1	Acc12855.1	Acc27936.1	Acc27456.1	Acc27525.1	Acc11532.1	Acc05835.1	Acc03010.1	Acc30195.1	Acc27276.1	Acc32009.1	Acc20248.1	Acc00112.1	Acc08600.1
33	Acc16225.1	Acc26271.1	Acc06322.1	Acc14665.1	Acc03391.1	Acc08660.1	Acc09167.1	Acc19924.1	Acc18139.1	Acc27751.1	Acc29433.1	Acc31646.1	Acc11766.1	Acc06508.1	Acc33067.1	Acc10068.1	Acc06261.1	Acc04464.1	Acc20573.1	Acc14396.1	Acc31129.1	Acc30811.1	Acc31855.1	Acc32248.1	Acc33168.1	Acc19078.1	Acc24801.1	Acc00113.1	Acc08602.1
