,Read	HTSeq,HTSeq,HTSeq,HTSeq
,Actinidia00204.t1	2378,3161,2203,3043
,Actinidia00205.t1	0,0,0,0
,Actinidia00206.t1	629,788,462,513
,Actinidia00207.t1	702,1010,621,661
,Actinidia00208.t1	1269,1691,1127,1047
,Actinidia00209.t1	3102,4606,2870,1671
,Actinidia00210.t1	18,21,3,2
,Actinidia00211.t1	1,25,1,4
,Actinidia00212.t1	1586,2139,1498,838
,Actinidia00213.t1	0,10,4,0
,Actinidia00214.t1	0,0,0,70
,Actinidia00215.t1	2493,3000,2087,4381
,Actinidia00216.t1	21,40,21,28
,Actinidia00217.t1	60,38,37,32
,Actinidia00218.t1	371,758,385,413
,Actinidia00219.t1	346,491,335,297
,Actinidia00220.t1	9,29,7,63
,Actinidia00221.t1	207,350,154,492
,Actinidia00222.t1	269,304,237,131
,Actinidia00223.t1	118,232,84,132
,Actinidia00224.t1	5611,7763,4938,2794
,Actinidia00225.t1	31,63,42,75
,Actinidia00226.t1	877,1187,910,889
,Actinidia00227.t1	866,999,714,547
,Actinidia00228.t1	1753,2505,1776,904
,Actinidia00229.t1	4918,6455,4356,2555
,Actinidia00230.t1	0,0,2,1
,Actinidia00231.t1	67,104,77,163
,Actinidia00232.t1	2266,2835,2182,1950
,Actinidia00233.t1	150,205,160,100
,Actinidia00234.t1	16,22,7,7
,Actinidia00235.t1	5383,5403,4039,3491
,Actinidia00236.t1	6668,8004,5752,4748
,Actinidia00237.t1	21,27,17,16
,Actinidia00238.t1	1894,2204,1495,1216
,Actinidia00239.t1	26,31,23,23
,Actinidia00240.t1	70,62,78,25
,Actinidia00241.t1	1,10,5,2
,Actinidia00242.t1	4468,5253,3962,2526
,Actinidia00243.t1	754,945,572,499
,Actinidia00244.t1	185,294,202,135
,Actinidia00245.t1	142,137,166,121
,Actinidia00246.t1	10,0,1,11
,Actinidia00247.t1	19,19,36,1
,Actinidia00248.t1	10,24,9,5
,Actinidia00249.t1	69,104,66,41
,Actinidia00250.t1	1841,2377,1683,2189
,Actinidia00251.t1	104,133,64,143
,Actinidia00252.t1	553,728,424,333
,Actinidia00253.t1	1405,1957,1283,858
,Actinidia00254.t1	854,1215,838,1098
,Actinidia00255.t1	86,161,103,124
,Actinidia00256.t1	519,767,514,105
,Actinidia00257.t1	84,112,68,46
,Actinidia00258.t1	934,1907,1251,325
,Actinidia00259.t1	11618,15034,9221,11123
,Actinidia00260.t1	50,76,42,58
,Actinidia00261.t1	1877,2552,1747,1438
,Actinidia00262.t1	149,215,169,115
,Actinidia00263.t1	8388,11325,7075,5775
,Actinidia00264.t1	527,776,501,697
,Actinidia00265.t1	1329,2099,1339,884
,Actinidia00266.t1	2042,2419,1979,937
,Actinidia00267.t1	4533,5756,3758,3830
,Actinidia00268.t1	3313,4588,2998,2544
,Actinidia00269.t1	0,2,0,0
,Actinidia00270.t1	0,7,0,4
,Actinidia00271.t1	117,143,106,61
,Actinidia00272.t1	664,908,639,586
,Actinidia00273.t1	1315,1917,1206,380
,Actinidia00274.t1	82,108,81,33
,Actinidia00275.t1	673,909,604,492
,Actinidia00276.t1	1106,1529,886,618
,Actinidia00277.t1	0,0,0,0
,Actinidia00278.t1	291,335,271,159
,Actinidia00279.t1	542,624,437,354
,Actinidia00280.t1	167,167,113,22
,Actinidia00281.t1	3744,5001,3090,375
,Actinidia00282.t2	47939,55704,37645,2107
,Actinidia00283.t1	1317,2220,1444,1645
,Actinidia00284.t1	1546,2099,1450,1422
,Actinidia00285.t1	142,175,117,39
,Actinidia00286.t1	3320,4894,2986,838
,Actinidia00287.t1	1184,1833,1263,45
,Actinidia00288.t1	126,169,173,82
,Actinidia00289.t1	4,9,7,3
,Actinidia00290.t1	0,0,0,0
,Actinidia00291.t2	3661,5496,3276,521
,Actinidia00292.t1	117,104,107,64
,Actinidia00293.t1	3351,4300,2799,2100
,Actinidia00294.t1	14,10,14,5
,Actinidia00295.t1	1333,1752,1067,911
,Actinidia00296.t1	4653,5628,3619,3484
,Actinidia00297.t1	0,0,0,0
,Actinidia00298.t1	2,1,0,6
,Actinidia00299.t1	2070,2337,1768,2014
,Actinidia00300.t1	13,138,39,0
,Actinidia00301.t1	44,61,32,19
,Actinidia00302.t3	67,99,48,67
,Actinidia00303.t1	15,25,16,19
,Actinidia00304.t1	110,129,68,96
,Actinidia00305.t1	102,110,102,127
,Actinidia00306.t1	990,1153,862,618
,Actinidia00307.t1	766,1080,644,350
,Actinidia00308.t1	1,0,1,1
,Actinidia00309.t1	1226,1403,909,364
,Actinidia00310.t1	118,184,92,106
,Actinidia00311.t1	5562,7542,4989,4608
,Actinidia00312.t1	1066,1713,1027,932
,Actinidia00313.t1	2051,3430,2672,6765
,Actinidia00314.t1	1331,1632,1220,1235
,Actinidia00315.t1	1460,1719,1221,1082
,Actinidia00316.t1	68,115,76,0
,Actinidia00317.t1	383,614,464,234
,Actinidia00318.t1	107,173,170,93
,Actinidia00319.t1	54,70,50,41
,Actinidia00320.t1	1823,2336,1519,1207
,Actinidia00321.t1	191,311,134,182
,Actinidia00322.t1	1060,1758,1176,925
,Actinidia00323.t1	2018,2731,1808,1397
,Actinidia00324.t1	4116,5732,3484,2477
